diyu,fangkeshuliang,ipshu,fw£¨xiaochuhuanhangfu£©
guangdong,1089623,1029355,
jiangsu,115473,108545,
henan,82756,76774,
shandong,85192,80838,
zhejiang,67857,62945,
beijing,60842,58633,
sichuan,55577,53584,
hebei,42307,38801,
hubei,45990,44474,
fujian,34726,32337,
anhui,33305,31784,
hunan,36980,35439,
shanghai,32997,31725,
liaoning,29695,26608,
shanxi,35538,34429,
guangxi,24430,23295,
yunnan,28466,27305,
jiangxi,19893,18672,
shanxi,27481,26458,
chongqing,26950,25919,
qita,26859,25930,
guizhou,23821,22770,
heilongjiang,20620,19146,
xinjiang,20896,18990,
jilin,20642,17883,
tianjin,21834,21083,
neimenggu,18259,16500,
gansu,14602,14103,
hainan,13170,12828,
xianggang,8354,8001,
ningxia,1524,1286,
qinghai,4974,4910,
xizang,4597,4411,
taiwan,2488,2410,
aomen,357,359,
,171,180,
