diyu,fangkeshuliang,ipshu,fw£¨xiaochuhuanhangfu£©
guangdong,1269215,1209161,
jiangsu,134675,126853,
henan,107373,102066,
shandong,98936,94859,
zhejiang,82830,77197,
beijing,70190,67333,
sichuan,56412,54513,
hebei,48657,45081,
hubei,56344,55495,
fujian,46033,43012,
anhui,41148,39049,
hunan,46773,45306,
shanghai,40239,39088,
liaoning,17228,16435,
shanxi,35816,34437,
guangxi,35077,33524,
yunnan,33506,32122,
jiangxi,29297,28404,
shanxi,30312,28937,
chongqing,31382,30090,
qita,29703,28941,
guizhou,26346,22775,
heilongjiang,26220,25362,
xinjiang,22586,20826,
jilin,21241,20465,
tianjin,20626,19848,
neimenggu,18693,17706,
gansu,18276,17631,
hainan,16116,15785,
xianggang,9159,8801,
ningxia,6673,6519,
qinghai,1819,1552,
xizang,5860,5595,
taiwan,3192,3057,
aomen,276,286,
,201,211,
